dataset,Ek,treeType,Pdisc,NumFolds,Ncentro,MS,SumStra,FinalClassif,Pconf,Pprun,PprunMaxBoxes,Pmerg,Pgrow,PprunDS,Etf,Esim,EuseSameRandomSamples,Eparallel,pctCorrect,pctIncorrect,pctUnclassified,precisionClass0,recallClass0,specificityClass0,accuracyClass0,ROCAUCClass0,classifierBuildTimeMax,classifierBuildTimeAvg,classifierBuildPeakMemUsageMax,classifierBuildPeakMemUsageAvg,classifierClassificationTimeMax,classifierClassificationTimeAvg,classifierClassificationPeakMemUsageMax,classifierClassificationPeakMemUsageAvg,numClasses,numAttributes,numInstances,conflictBoxes,mergedBoxesCount,cubesBuiltMax,cubesBuiltAvg,cubeCountRatioAfterMergingMax,cubeCountRatioAfterMergingAvg,cubeCompressionRatioMax,cubeCompressionRatioAvg,finalCubeCountMax,finalCubeCountAvg,cutBoxesAtBuildTreeMax,cutBoxesAtBuildTreeAvg,treeDepthMax,treeDepthAvg
9,4,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,77.7439687025,22.2560312975,0,80.3928325293,83.6800573888,68.6155543298,77.7439687025,0.8151046839,11929,7269.2,664149296,191094092.8,1,0.5,2209440,965962.4,2,58,4601,181469,0,38,26.075,1069,563.9,-1,-1,1000,1000,0,0,23,18.4
10,4,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,74.0431125131,25.9568874869,0,88.0518678605,69.3804735647,82.6405502392,74.0431125131,0.8266779924,20183,17824.9,640352208,141743958.4,2,1.6,586368,482043.2,2,11,19020,244416,0,105,80.025,752,429.2666666667,-1,-1,1000,1000,0,0,27,22.1
0,4,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,34.96,65.04,0,79.5355587808,69.4550063371,99.2660454948,98.09,0.9231800024,50534,37425.1,656383224,198243184.8,3,2.8,562536,387164,26,17,20000,585534,0,391,364.325,144,107.9,-1,-1,1000,1000,0,0,23,20.8
5,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,80.8560677328,19.1439322672,0,84.1993637328,95.9516616314,36.7303609342,82.8316086548,0.8715094836,17074,10036.9,695997064,170770712.8,0,0,526120,281161.6,3,22,2126,886352,0,12,6.10625,1308,346.3466666667,-1,-1,1000,1000,0,0,25,23.1
8,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,89.2045454545,10.7954545455,0,99.3431855501,73.2445520581,99.9136069114,95.8760997067,0.9542306204,29427,23440.7,673365560,214739831.2,1,0.8,1099688,678274.4,4,25,5456,868959,0,13,8.68125,1091,367.5266666667,-1,-1,1000,1000,0,0,62,55.5
9,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,39.4044772875,60.5955227125,0,-1,0,100,39.4044772875,0.6555214373,90984,66739.2,1260682840,165181533.6,1,0.4,867408,472321.6,2,58,4601,2253692,0,16,9.8,934,385.7866666667,-1,-1,1000,1000,0,0,22,19.3
10,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,56.0778128286,43.9221871714,0,90.2957860616,36.1417450535,92.8379186603,56.0778128286,0.764752102,45694,36695.7,627248808,178156435.2,2,1.9,395104,140160,2,11,19020,615005,0,47,27.63125,811,341.84,-1,-1,1000,1000,0,0,32,29.7
0,16,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,19.97,80.03,0,72.5203252033,56.5272496831,99.1202956639,97.44,0.880024607,123222,106479.1,831462608,-105088924,3,2.7,511256,283965.6,26,17,20000,3294685,0,154,137.25,396,217.62,-1,-1,1000,1000,0,0,25,22.4
5,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,76.5757290687,23.4242709313,0,81.5165876777,93.5347432024,25.4777070064,78.4571966134,0.7301332256,21481,15291.8,816566784,-121296088,1,0.3,593680,170836.8,3,22,2126,1727033,0,6,2.6828125,1138,203.9714285714,-1,-1,1000,1000,0,0,42,28.6
8,64,2,0,10,,,,,1,200,1000,0,0,1,0,0,,0,57.7712609971,42.2287390029,0,100,2.5423728814,100,85.245601173,0.7465804915,83087,71380.5,1452691920,-26801544.8,1,1,1166792,492928,4,25,5456,5309837,0,9,5.3453125,1115,277.246031746,-1,-1,1000,1000,0,0,81,65.3
